# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230716
# End date: 20240114
Landing page,Sessions,Users,New users,Average engagement time per session,Conversions,Total revenue
/internships,5906,5237,5067,57.46732136810024,0,0
/,5218,3766,3335,109.42736680720583,0,0
(not set),1883,950,0,23.865639936271908,0,0
/stage/archives/40710,1431,1272,1275,48.0146750524109,0,0
/internships/internship-application,1388,950,691,80.02017291066282,0,0
/internships/meet-our-interns,1134,1081,1031,61.91710758377425,0,0
/fundraising-ideas,1011,917,915,49.04154302670623,0,0
/start-a-chapter,696,591,478,67.5,0,0
/high-school-national-stem-honor-society,537,500,483,69.59962756052141,0,0
/faq/what-are-stem-enrichment-activities,457,387,385,43.82494529540482,0,0
/stage/archives/13845,452,429,429,35.09513274336283,0,0
/membership-account/membership-checkout,380,288,218,143.70263157894738,0,0
/requirements,334,295,250,73.63173652694611,0,0
/log-in,281,161,96,136.63345195729536,0,0
/internships/job-descriptions-and-skills-required,264,215,161,27.348484848484848,0,0
/high-school,242,153,109,43.450413223140494,0,0
/stage/archives/31330,224,203,203,65.76785714285714,0,0
/stage/archives/30639,195,188,188,38.68205128205128,0,0
/about-us,190,164,114,73.59473684210526,0,0
/shop,186,124,58,120.05913978494624,0,0
/leader/xinyi-zhang,150,125,120,33.24666666666667,0,0
/internships/internship-details,144,116,75,79.42361111111111,0,0
/stage,132,42,10,187.1060606060606,0,0
/stage/archives/40731,122,121,120,31.442622950819672,0,0
/middle-school,117,95,73,48.205128205128204,0,0
/important-stem-dates-2,114,108,103,32.41228070175438,0,0
/dashboard,113,58,24,160.9203539823009,0,0
/careers-at-nstem,91,84,71,74.35164835164835,0,0
/nstem-for-elementary-school-k-2,90,84,83,22.77777777777778,0,0
/constitution,86,63,34,77.43023255813954,0,0
/leader/maxine-cain,85,79,78,29.764705882352942,0,0
/elementary-school-3-5,83,66,53,40.626506024096386,0,0
/2023/07/12-hot-stem-careers-right-now,80,60,49,24.2625,0,0
/internships-1,80,76,75,55.2375,0,0
/media-release,76,65,34,349.2894736842105,0,0
/project-based-learning-showcase,76,64,48,105.57894736842105,0,0
/leadership,75,53,33,69.90666666666667,0,0
/nstem-awards,70,70,66,28.185714285714287,0,0
/elementary-school-k-2,69,57,41,59.79710144927536,0,0
/shop/chapter-merchandise/cords,69,65,59,53.65217391304348,0,0
/epsilon-theta-mu,67,55,35,121.34328358208955,0,0
/resource-library,67,59,33,143.6417910447761,0,0
/internships/internship-faqs,62,59,40,113.64516129032258,0,0
/stage/archives/28559,61,56,56,32.60655737704918,0,0
/chapter-handbook,60,40,28,58.63333333333333,0,0
/mentors-at-nstem/mentorship-application,58,41,37,88.48275862068965,0,0
/why-join,54,47,36,57.629629629629626,0,0
/2023-project-based-learning-showcase,53,50,47,35.698113207547166,0,0
/middle-school-national-stem-honor-society,52,50,49,97.40384615384616,0,0
/nstem-commitment-to-environmental-sustainability,50,45,40,27.1,0,0
/2023/04/12-science-fair-project-ideas-for-elementary-schoolers,49,44,43,25.959183673469386,0,0
/shop/chapter-merchandise/induction-certificates,49,49,48,13.46938775510204,0,0
/stage/archives/37381,49,43,43,46.3469387755102,0,0
/advisor-dashboard,48,38,22,86.79166666666667,0,0
/leader/dr-ronald-j-martorelli,48,47,46,17.729166666666668,0,0
/nstem-scholarships,46,42,37,31.108695652173914,0,0
/sample-chapter-bylaws,46,37,30,73.84782608695652,0,0
/nstem-induction-graduation-ceremonies,43,36,31,81.16279069767442,0,0
/2023/04/3-fascinating-solar-projects-for-your-k-2-students,42,38,32,30.714285714285715,0,0
/stage/archives/30834,42,39,39,28.571428571428573,0,0
/2023/03/3-robotics-resources-to-implement-in-your-middle-school-classroom,40,40,35,40.175,0,0
/stage/archives/33865,39,39,39,38.46153846153846,0,0
/stage/shop/chapter-merchandise/induction-certificates,38,37,37,18.92105263157895,0,0
/blog,37,17,4,104.94594594594595,0,0
/2023/02/10-exciting-math-competitions-for-grades-3-5-unleashing-the-potential-of-young-mathematicians,36,31,26,54.22222222222222,0,0
/contact-us,36,34,21,53.611111111111114,0,0
/leader/ken-hecht,36,35,31,45.30555555555556,0,0
/submit-leadership-information,36,18,3,621.1666666666666,0,0
/stage/blog,34,15,3,104.32352941176471,0,0
/submit-bio-headshot,34,17,4,479.4117647058824,0,0
/leader/dashel-myers,33,32,30,30.12121212121212,0,0
/2023/09/make-stem-education-simple-and-fun-for-your-k-2-classroom-with-these-five-tips,32,17,16,17.65625,0,0
/chapters-map,32,16,3,58.375,0,0
/educational-partners,32,21,15,12.28125,0,0
/commitment-to-idea,31,26,18,134.93548387096774,0,0
/stage/archives/30223,31,31,31,21.93548387096774,0,0
/internships/testimonials,30,27,22,44.666666666666664,0,0
/leader/eric-magers,30,28,25,60.166666666666664,0,0
/stage/resources,30,7,1,314.1333333333333,0,0
/stage/archives/30118,29,29,29,38.3448275862069,0,0
/stage/internships/new-meet-our-interns,29,28,25,39.44827586206897,0,0
/2023/08/top-5-stem-mentorship-programs-for-high-school-students,28,26,23,78.53571428571429,0,0
/leader/zuzana-urbanova,27,23,18,148.66666666666666,0,0
/product-category/apparel-decals,27,16,2,71.55555555555556,0,0
/stage/internships,27,25,21,94.11111111111111,0,0
/elementary-school-national-stem-honor-society-2,25,24,24,144.68,0,0
/faqs,25,24,16,152.84,0,0
/my-account,25,25,18,87.56,0,0
/stage/archives/29702,25,24,24,43.44,0,0
/stage/archives/30548,25,23,23,47.84,0,0
/2023/10/decoding-stem-majors-and-careers-for-high-schoolers,24,23,15,20.416666666666668,0,0
/internship-experience,24,22,8,178,0,0
/membership-account,24,17,0,148.33333333333334,0,0
/product-category/chapter-merchandise,24,17,6,236.875,0,0
/stage/archives/intern/lucy-reid,24,23,23,21.25,0,0
/submit-a-resource,24,13,7,728.0416666666666,0,0
/2023/04/3-robotics-competitions-for-middle-school-students,23,17,15,39,0,0
/2023/06/the-top-3-stimulating-stem-guest-speakers-you-must-incorporate-in-your-classroom-today,23,15,13,37.82608695652174,0,0
/high-school-national-stem-honor-society/student-membership-benefits,23,21,20,46.69565217391305,0,0
/membership-account/membership-confirmation,23,18,2,127.95652173913044,0,0
/privacy-policy,23,23,22,1.6956521739130435,0,0
/stage/archives/13781,23,23,23,18.565217391304348,0,0
/stem-certificate,23,23,23,48.26086956521739,0,0
/2022/07/the-worlds-fastest-computer,22,11,7,7.045454545454546,0,0
/leader/cameron-hendricks,22,17,16,17.5,0,0
/product-category/apparel-accessories,22,15,3,136.0909090909091,0,0
/stage/chapter-roster,22,7,4,246.54545454545453,0,0
/2023/06/3-family-activities-to-boost-your-childs-stem-experience,21,16,12,64.42857142857143,0,0
/stage/internships/internship-application,21,17,12,30.19047619047619,0,0
/stage/internships/meet-our-interns,21,20,18,57.19047619047619,0,0
/2023/10/the-10-hottest-college-scholarships-to-apply-for-in-2023,20,19,17,24.25,0,0
/cart,20,19,16,17.7,0,0
/chapter-bylaws-form,20,13,3,214.2,0,0
/leader/anna-demich,20,17,13,58.2,0,0
/leader/chinmayi-chittamuri,20,18,18,34.9,0,0
/2023/02/the-5-best-coding-resources-for-high-school-students,19,15,13,39.10526315789474,0,0
/2023/10/these-4-stem-high-school-extracurricular-activities-will-set-you-up-for-success,19,18,16,45.78947368421053,0,0
/advisor-dashboard/social-media-pr-shoutout-form,19,15,9,92.10526315789474,0,0
/scholarship-grant/maryland-tech-council-stem-scholarship,19,19,19,24.63157894736842,0,0
/leader/jose-a-marquez-leon,18,17,16,40.5,0,0
/stage/archives/30132,18,18,18,48.94444444444444,0,0
/test-applications,18,8,3,340.1666666666667,0,0
/2023/02/6-ways-to-inspire-high-school-students-to-use-stem-to-solve-real-world-problems,17,12,5,31.764705882352942,0,0
/2023/06/explore-the-benefits-of-wind-power-with-these-3-creative-wind-power-projects-for-your-k-2-classroom,17,13,10,18.764705882352942,0,0
/2023/09/4-tips-for-empowering-stem-in-your-k-2-classroom,16,12,9,45.9375,0,0
/stage/archives/33906,16,16,16,30.3125,0,0
/leader/aisha-makama,15,15,13,24.333333333333332,0,0
/leader/christopher-lee,15,15,15,22.666666666666668,0,0
/promotional-flyers,15,12,7,44.666666666666664,0,0
/stage/archives/14561,15,14,14,25.066666666666666,0,0
/stage/new-student-dashboard-student-profile,15,2,0,106.33333333333333,0,0
/student-membership-roster,15,11,4,207.86666666666667,0,0
/advisory-council-at-nstem,14,8,6,38,0,0
/manage-your-chapter,14,11,3,194.92857142857142,0,0
/mentors-at-nstem,14,12,8,138.64285714285714,0,0
/shop/chapter-merchandise/graduation-certificates,14,14,10,28.285714285714285,0,0
/stage/archives/30107,14,9,9,11.928571428571429,0,0
/stage/archives/30710,14,14,14,36.142857142857146,0,0
/2023/04/national-stem-college-scholarships-for-high-school-students,13,7,4,16.615384615384617,0,0
/2023/07/the-top-3-stimulating-stem-guest-speakers-you-must-incorporate-in-your-elementary-school-classroom-today,13,12,5,47.15384615384615,0,0
/leader/libbey-kwok,13,11,8,43.15384615384615,0,0
/payment-instructions,13,11,3,148.15384615384616,0,0
/shop/chapter-merchandise/nstem-bundle,13,10,6,165,0,0
/stage/archives/31245,13,11,11,38.76923076923077,0,0
/2022/09/a-deeper-look-at-the-unknown,12,10,8,9.083333333333334,0,0
