# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20231216
# End date: 20240114
Landing page,Sessions,Users,New users,Average engagement time per session,Conversions,Total revenue
/internships,1629,1504,1454,56.71823204419889,0,0
/,486,402,309,130.39506172839506,0,0
/stage/archives/40710,429,398,394,55.61771561771562,0,0
/internships/internship-application,271,181,136,233.45756457564576,0,0
/internships/meet-our-interns,217,210,204,59.7926267281106,0,0
(not set),188,63,0,23.47872340425532,0,0
/fundraising-ideas,174,172,171,26.977011494252874,0,0
/stage/archives/13845,82,76,76,47.426829268292686,0,0
/high-school-national-stem-honor-society,75,71,70,88.61333333333333,0,0
/start-a-chapter,74,54,41,150.13513513513513,0,0
/faq/what-are-stem-enrichment-activities,50,50,49,40.96,0,0
/stage/archives/31330,43,41,41,38.395348837209305,0,0
/about-us,38,36,26,69.1842105263158,0,0
/stage/archives/40731,38,37,37,32.44736842105263,0,0
/log-in,37,27,12,162.83783783783784,0,0
/project-based-learning-showcase,36,31,19,144.91666666666666,0,0
/stage/archives/30639,33,33,32,39.666666666666664,0,0
/requirements,31,28,19,109.87096774193549,0,0
/membership-account/membership-checkout,29,22,15,102.62068965517241,0,0
/internships/job-descriptions-and-skills-required,27,20,15,32.370370370370374,0,0
/important-stem-dates-2,26,26,25,29.423076923076923,0,0
/shop,25,23,14,84.32,0,0
/2023/10/decoding-stem-majors-and-careers-for-high-schoolers,23,22,15,20.91304347826087,0,0
/high-school,18,15,12,91.83333333333333,0,0
/internships/internship-details,17,14,6,147.35294117647058,0,0
/leader/xinyi-zhang,17,15,15,78.29411764705883,0,0
/leader/maxine-cain,16,16,15,38.4375,0,0
/middle-school-national-stem-honor-society,16,15,14,53.625,0,0
/media-release,15,15,9,540,0,0
/internships-1,13,12,12,76.15384615384616,0,0
/leader/dr-ronald-j-martorelli,13,13,12,21.615384615384617,0,0
/nstem-for-elementary-school-k-2,13,13,13,63.30769230769231,0,0
/stage/archives/30223,13,13,13,17.153846153846153,0,0
/stage/internships/internship-application,13,11,10,39.15384615384615,0,0
/shop/chapter-merchandise/cords,12,12,9,187,0,0
/stage,12,8,3,158.41666666666666,0,0
/leadership,11,8,6,165.9090909090909,0,0
/dashboard,10,5,1,17.2,0,0
/internships/internship-faqs,10,10,8,135.7,0,0
/leader/chinmayi-chittamuri,10,8,8,43.4,0,0
/nstem-commitment-to-environmental-sustainability,10,10,9,29.5,0,0
/stage/archives/37381,10,10,10,21.4,0,0
/careers-at-nstem,9,9,8,30.77777777777778,0,0
/middle-school,9,8,4,62.22222222222222,0,0
/resource-library,9,8,6,174.33333333333334,0,0
