# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240114
# End date: 20240120
Landing page,Sessions,Users,New users,Average engagement time per session,Conversions,Total revenue
/internships/internship-application,430,395,371,23.665116279069768,0,0
/,226,203,155,143.97345132743362,0,0
/stage/archives/40710,146,136,133,62.986301369863014,0,0
/internships/meet-our-interns,67,65,63,46.07462686567164,0,0
/internships,66,58,39,79.25757575757575,0,0
(not set),56,20,0,27.017857142857142,0,0
/fundraising-ideas,29,26,26,52.48275862068966,0,0
/high-school-national-stem-honor-society,29,26,25,84.20689655172414,0,0
/about-us,18,16,15,86.77777777777777,0,0
/stage/archives/40731,14,14,14,31.428571428571427,0,0
/start-a-chapter,13,9,6,23.615384615384617,0,0
/requirements,11,10,6,121.18181818181819,0,0
/stage/archives/13845,10,10,10,47.6,0,0
/faq/what-are-stem-enrichment-activities,9,9,9,17.666666666666668,0,0
/stage/archives/30639,9,9,8,44.111111111111114,0,0
/leader/xinyi-zhang,8,7,6,17.375,0,0
/project-based-learning-showcase,8,6,5,458.5,0,0
/2023/10/decoding-stem-majors-and-careers-for-high-schoolers,7,7,5,14.142857142857142,0,0
/careers-at-nstem,6,6,4,831,0,0
/important-stem-dates-2,6,4,4,89.83333333333333,0,0
/log-in,6,6,3,237.16666666666666,0,0
/stage,6,5,3,399.5,0,0
/stage/blog,6,3,1,148.16666666666666,0,0
/dashboard,5,2,0,1,0,0
/internships/internship-details,5,4,2,62.6,0,0
/internships/job-descriptions-and-skills-required,5,4,4,56.6,0,0
/media-release,5,5,4,791,0,0
/nstem-awards,5,5,5,17.2,0,0
/stage/archives/31330,5,5,5,22.8,0,0
/stage/archives/37381,5,5,5,72.6,0,0
/why-join,5,3,3,1.4,0,0
/elementary-school-k-2,4,3,2,26.5,0,0
/internships/internship-faqs,4,4,3,50.5,0,0
/leader/dr-ronald-j-martorelli,4,4,4,18.75,0,0
/leader/ken-hecht,4,4,4,26.75,0,0
/leader/maxine-cain,4,4,4,19.75,0,0
/leader/nehal-bajaj,4,4,4,5,0,0
/membership-account/membership-checkout,4,2,1,257.25,0,0
/nstem-for-elementary-school-k-2,4,4,4,36.25,0,0
/resource-library,4,4,2,203,0,0
/stage/archives/13781,4,4,4,22.75,0,0
/stage/archives/14818,4,4,4,29.25,0,0
/stage/archives/30223,4,4,4,25,0,0
/student-membership-roster,4,4,4,100,0,0
/elementary-school-3-5,3,2,1,7,0,0
/epsilon-theta-mu,3,1,0,0,0,0
/high-school-national-stem-honor-society/student-membership-benefits,3,2,1,27.333333333333332,0,0
/leadership,3,3,1,185.33333333333334,0,0
/nstem-scholarships,3,3,3,6,0,0
/shop/chapter-merchandise/cords,3,3,3,16,0,0
/shop/chapter-merchandise/medal,3,3,2,45.333333333333336,0,0
/stage/archives/28559,3,3,3,26.333333333333332,0,0
/stage/archives/33151,3,3,3,28.333333333333332,0,0
/stage/careers-nstem,3,1,0,1915,0,0
/stage/internships/internship-application,3,2,2,0,0,0
/stage/shop/chapter-merchandise/induction-certificates,3,3,3,19.333333333333332,0,0
/2023/07/12-hot-stem-careers-right-now,2,2,1,124,0,0
/chapter-handbook,2,1,1,9.5,0,0
/contact-us,2,2,1,5.5,0,0
/faq/how-is-the-national-stem-honor-society-different-from-other-honor-societies,2,2,2,0,0,0
/internships-1,2,2,2,49.5,0,0
/leader/aisha-makama,2,2,2,43.5,0,0
/leader/dashel-myers,2,2,2,5.5,0,0
/membership-account,2,0,0,0,0,0
/middle-school,2,2,1,20,0,0
/nstem-induction-graduation-ceremonies,2,2,2,4,0,0
/organization-national-stem-honor-society,2,2,1,78.5,0,0
/scholarship-grant/maryland-tech-council-stem-scholarship,2,2,2,3,0,0
/stage/archives/14084,2,2,1,28,0,0
/stage/archives/28598,2,2,2,4.5,0,0
/stage/archives/29870,2,1,1,0,0,0
/stage/archives/30107,2,2,2,76.5,0,0
/stage/archives/30834,2,2,2,640,0,0
/stage/archives/31245,2,2,2,33,0,0
/stage/archives/31352,2,1,1,67.5,0,0
/stage/archives/33865,2,2,2,4.5,0,0
/stage/archives/35552,2,2,2,34,0,0
/stage/archives/40740,2,2,2,15,0,0
/stage/internships,2,2,2,32.5,0,0
/student-dashboard,2,2,0,51.5,0,0
/2021/10/high-school-student-interested-in-computer-science-read-this,1,1,1,0,0,0
/2021/10/how-to-introduce-sustainability-to-elementary-school-students,1,1,1,0,0,0
/2021/10/why-should-i-learn-to-code,1,1,1,8,0,0
/2023/02/the-5-best-coding-resources-for-high-school-students,1,1,1,64,0,0
/2023/04/12-science-fair-project-ideas-for-elementary-schoolers,1,1,1,0,0,0
/2023/09/make-stem-education-simple-and-fun-for-your-k-2-classroom-with-these-five-tips,1,1,1,38,0,0
/2023/12/unveiling-the-wonders-of-space-5-astronomy-activities-for-middle-schoolers,1,1,1,0,0,0
/2024/01,1,1,0,0,0,0
/2024/01/looking-for-5-exceptional-high-school-engineering-educators-you-got-it,1,1,1,0,0,0
/advisor-dashboard,1,1,0,118,0,0
/advisory-council-at-nstem,1,1,1,18,0,0
/archives/date/2022/07,1,1,0,312,0,0
/blog,1,1,0,828,0,0
/cart,1,1,1,0,0,0
/category/stem-careers,1,1,0,41,0,0
/chapter-development-advisor,1,1,1,20,0,0
/commitment-to-idea,1,1,1,4,0,0
/constitution,1,1,1,19,0,0
/educational-partners,1,1,1,0,0,0
/elementary-school-national-stem-honor-society-2,1,1,1,14,0,0
